"bfs","wohngebiet","totbev","steuerfuss","fahrzeit","X25.","X50.","X75."
1,879,1632,98,26.5,660,780,860
2,2977,11583,124,21,720,780,840
3,1362,5516,108,17,790,840,870
4,1469,3174,112,25.5,710,770,820
5,1261,3100,98,18,980,1060,1120
6,588,880,112,33.5,580,620,750
7,682,1875,112,27,620,650,690
8,309,461,124,32.5,470,480,500
9,1697,3516,102,25,700,780,830
10,1922,4588,119,26.5,660,730,770
11,1082,2065,112,28,690,740,780
12,534,724,112,30,490,530,570
13,1158,3211,91,13.5,1070,1150,1240
14,1673,4476,84,17.5,1090,1140,1190
21,372,414,118,36,420,500,610
22,463,785,119,39.5,450,490,520
23,341,486,109,41.5,430,470,480
24,478,889,109,37.5,410,420,430
25,713,1840,109,40,630,680,730
26,307,537,107,35,470,480,510
27,1205,3160,114,47,470,500,510
28,678,1050,110,41.5,490,510,530
29,568,1095,112,40.5,590,620,650
30,898,1816,115,31,650,670,700
31,751,2390,107,26.5,700,750,780
32,265,436,122,38.5,510,550,590
33,1077,1808,110,41.5,490,560,600
34,944,1311,117,42.5,580,610,680
35,869,1447,111,34.5,530,560,600
36,645,1056,124,44.5,460,480,520
37,637,1137,124,37,410,430,470
38,719,1318,124,45.5,410,450,480
39,459,655,108,41.5,380,390,420
40,587,727,111,43,410,480,550
41,237,310,124,42.5,430,450,470
42,552,701,124,45,420,440,450
43,172,393,124,37.5,440,450,460
44,458,348,124,55,320,340,350
51,1050,3725,106,22,680,740,800
52,2777,11318,109,13,950,1050,1140
53,4161,16596,111,18.5,760,840,900
54,1821,6735,95,10.5,1240,1310,1360
55,1778,4492,113,23,660,710,760
56,2353,8428,118,23,670,720,760
57,843,2125,97,30,650,720,750
58,1572,3383,112,29,560,600,630
59,512,1689,116,24.5,500,550,580
60,907,2425,114,25.5,460,480,520
61,481,841,101,34.5,570,590,630
62,3802,18445,105,10.5,880,1030,1140
63,793,1663,89,19.5,770,850,890
64,1900,4549,90,21,760,850,970
65,357,657,117,25.5,540,570,620
66,4307,17735,102,8,930,1050,1240
67,1476,3601,113,28.5,590,640,670
68,821,1963,104,28,590,620,650
69,3272,12908,97,7.5,1330,1440,1520
70,249,496,108,34,510,530,570
71,707,1136,103,32.5,620,670,720
72,1578,3548,76,25,800,850,890
81,291,381,124,28.5,490,510,530
82,541,1148,88,16,1030,1220,1310
83,1604,5856,109,13,1050,1130,1190
84,865,3683,106,20,740,770,800
85,530,1728,102,23.5,660,700,770
86,1492,5391,97,17,920,990,1050
87,386,610,111,26,570,600,610
88,1219,2766,76,24,840,930,1000
89,1391,5464,107,15.5,810,830,860
90,2189,8212,111,14.5,800,910,970
91,1241,2563,108,25,680,740,780
92,1665,5113,122,12,630,830,940
93,628,1559,104,23.5,680,730,760
94,925,2404,99,16.5,900,960,1030
95,182,268,104,23,730,790,850
96,4214,16058,114,10,1060,1130,1190
97,1628,6749,107,9.5,930,1060,1160
98,363,566,117,30,560,580,610
99,603,1483,105,21.5,790,860,890
100,932,1645,112,29,430,450,520
101,1064,2643,105,19.5,770,870,910
102,756,758,94,34,450,470,490
111,1227,3639,102,34,620,670,720
112,2110,5611,107,25.5,850,920,1020
113,1934,5575,115,31,620,660,710
114,1234,1689,124,42.5,300,330,360
115,2897,8633,119,28,650,730,800
116,1135,2688,113,29.5,610,690,720
117,2959,8137,116,26,730,780,830
118,3193,10059,116,26.5,730,770,800
119,629,1176,115,20,670,770,860
120,2753,7026,119,35.5,520,570,610
121,5749,22292,119,21,790,850,900
131,3952,16487,104,9.5,1400,1500,1580
132,606,1538,124,27.5,620,710,780
133,4099,17689,87,16,1540,1630,1720
134,186,473,124,31,530,560,590
135,2713,7631,76,7.5,2430,2630,2850
136,2115,6935,97,14.5,1100,1140,1190
137,1638,5260,84,14.5,1780,1900,2030
138,3435,11029,104,22.5,1100,1240,1320
139,1769,4334,75,9,2330,2540,2700
140,483,871,115,28.5,750,810,870
141,3918,16485,80,12.5,1730,1890,2030
142,5019,20397,106,20.5,1240,1310,1360
151,2073,4443,79,13,2090,2300,2430
152,2486,5072,78,16.5,2090,2210,2330
153,2602,6599,119,33,780,830,870
154,5903,13123,75,10.5,2270,2500,2680
155,3084,9625,95,22.5,1360,1440,1520
156,4364,10837,79,17.5,1730,1860,1990
157,1291,3743,119,28,710,750,800
158,4196,12951,90,26.5,1210,1300,1380
159,1970,5448,87,20.5,1400,1510,1580
160,2548,4830,85,11.5,1700,1830,1930
161,3976,12036,82,8.5,2180,2500,2800
172,1447,4996,107,21,840,890,930
173,1085,3070,112,33,540,570,620
176,1743,5162,115,21,670,780,840
177,3180,9771,102,24,820,880,920
178,1831,3632,113,30.5,580,690,770
180,1361,3220,101,29.5,610,660,720
181,831,1580,124,41,360,400,410
182,462,769,119,37,370,400,460
191,6118,21578,105,8.5,1240,1330,1420
192,2511,7166,98,19.5,960,1010,1050
193,2190,8783,93,10,1250,1320,1370
194,1253,6196,93,15.5,1040,1110,1160
195,3736,9070,87,14,1150,1220,1270
196,1182,3779,106,24.5,730,770,800
197,1199,4874,99,12,1120,1200,1270
198,7881,30078,109,14.5,960,1050,1110
199,4067,16933,95,17,890,980,1090
200,1920,6844,96,9.5,1190,1280,1360
211,363,383,112,38.5,380,390,410
213,717,1669,89,26.5,910,950,1000
214,468,970,114,34,510,560,590
215,432,711,106,38.5,580,620,640
216,675,1323,87,33,550,610,650
217,1395,3958,121,31,550,580,610
218,444,590,112,35.5,480,500,530
219,1416,2796,121,31.5,580,640,680
220,448,1129,111,43.5,400,450,490
221,1076,2689,98,27.5,780,830,860
222,239,310,124,40.5,350,390,400
223,1749,4599,101,29.5,610,670,700
224,1179,3836,107,29.5,600,650,670
225,941,2615,104,29,570,630,660
226,427,436,124,40.5,350,370,410
227,2251,6941,84,27.5,770,840,890
228,1573,3278,122,40,390,420,460
230,22154,100029,122,19,760,820,880
231,1908,4888,122,35,450,490,530
241,634,1025,87,15.5,890,920,960
242,1922,6275,110,10.5,1080,1160,1210
243,4153,23371,124,11.5,900,950,1010
244,1192,4370,96,20,1010,1060,1100
245,1362,6029,105,13,1090,1140,1180
246,820,1921,93,21,930,1010,1070
247,2746,13772,114,7,1230,1300,1370
248,1630,3393,77,8.5,1920,2050,2240
249,1187,2650,94,15.5,1000,1090,1130
250,2190,9574,118,10,1040,1090,1130
251,1182,4367,97,18,860,910,980
261,60643,374163,119,4.41226131023111,1700,2240,2810
296,4142,14844,119.5,18,750,850,910
297,1809,2999,116,42,430,480,520
298,2329,5655,90,28,600,800,850
