BFS_NR,GEBIET_NAME,THEMA_NAME,SET_NAME,SUBSET_NAME,INDIKATOR_ID,INDIKATOR_NAME,INDIKATOR_JAHR,INDIKATOR_VALUE,EINHEIT_KURZ,EINHEIT_LANG,
1,Aeugst a.A.,"Bau und Immobilien","Immobilienhandel","Baulandpreis",477,"Baulandpreis Modell (Median) [Fr./m2]",1974,146,Fr./m2,Franken pro Quadratmeter,
1,Aeugst a.A.,"Bau und Immobilien","Immobilienhandel","Baulandpreis",477,"Baulandpreis Modell (Median) [Fr./m2]",1975,146,Fr./m2,Franken pro Quadratmeter,
1,Aeugst a.A.,"Bau und Immobilien","Immobilienhandel","Baulandpreis",477,"Baulandpreis Modell (Median) [Fr./m2]",1976,148,Fr./m2,Franken pro Quadratmeter,
1,Aeugst a.A.,"Bau und Immobilien","Immobilienhandel","Baulandpreis",477,"Baulandpreis Modell (Median) [Fr./m2]",1977,152,Fr./m2,Franken pro Quadratmeter,
1,Aeugst a.A.,"Bau und Immobilien","Immobilienhandel","Baulandpreis",477,"Baulandpreis Modell (Median) [Fr./m2]",1978,158,Fr./m2,Franken pro Quadratmeter,
1,Aeugst a.A.,"Bau und Immobilien","Immobilienhandel","Baulandpreis",477,"Baulandpreis Modell (Median) [Fr./m2]",1979,167,Fr./m2,Franken pro Quadratmeter,
1,Aeugst a.A.,"Bau und Immobilien","Immobilienhandel","Baulandpreis",477,"Baulandpreis Modell (Median) [Fr./m2]",1980,177,Fr./m2,Franken pro Quadratmeter,
1,Aeugst a.A.,"Bau und Immobilien","Immobilienhandel","Baulandpreis",477,"Baulandpreis Modell (Median) [Fr./m2]",1981,192,Fr./m2,Franken pro Quadratmeter,
1,Aeugst a.A.,"Bau und Immobilien","Immobilienhandel","Baulandpreis",477,"Baulandpreis Modell (Median) [Fr./m2]",1982,209,Fr./m2,Franken pro Quadratmeter,
1,Aeugst a.A.,"Bau und Immobilien","Immobilienhandel","Baulandpreis",477,"Baulandpreis Modell (Median) [Fr./m2]",1983,230,Fr./m2,Franken pro Quadratmeter,
1,Aeugst a.A.,"Bau und Immobilien","Immobilienhandel","Baulandpreis",477,"Baulandpreis Modell (Median) [Fr./m2]",1984,252,Fr./m2,Franken pro Quadratmeter,
1,Aeugst a.A.,"Bau und Immobilien","Immobilienhandel","Baulandpreis",477,"Baulandpreis Modell (Median) [Fr./m2]",1985,277,Fr./m2,Franken pro Quadratmeter,
1,Aeugst a.A.,"Bau und Immobilien","Immobilienhandel","Baulandpreis",477,"Baulandpreis Modell (Median) [Fr./m2]",1986,311,Fr./m2,Franken pro Quadratmeter,
1,Aeugst a.A.,"Bau und Immobilien","Immobilienhandel","Baulandpreis",477,"Baulandpreis Modell (Median) [Fr./m2]",1987,358,Fr./m2,Franken pro Quadratmeter,
1,Aeugst a.A.,"Bau und Immobilien","Immobilienhandel","Baulandpreis",477,"Baulandpreis Modell (Median) [Fr./m2]",1988,414,Fr./m2,Franken pro Quadratmeter,
1,Aeugst a.A.,"Bau und Immobilien","Immobilienhandel","Baulandpreis",477,"Baulandpreis Modell (Median) [Fr./m2]",1989,486,Fr./m2,Franken pro Quadratmeter,
1,Aeugst a.A.,"Bau und Immobilien","Immobilienhandel","Baulandpreis",477,"Baulandpreis Modell (Median) [Fr./m2]",1990,564,Fr./m2,Franken pro Quadratmeter,
1,Aeugst a.A.,"Bau und Immobilien","Immobilienhandel","Baulandpreis",477,"Baulandpreis Modell (Median) [Fr./m2]",1991,617,Fr./m2,Franken pro Quadratmeter,
1,Aeugst a.A.,"Bau und Immobilien","Immobilienhandel","Baulandpreis",477,"Baulandpreis Modell (Median) [Fr./m2]",1992,658,Fr./m2,Franken pro Quadratmeter,
1,Aeugst a.A.,"Bau und Immobilien","Immobilienhandel","Baulandpreis",477,"Baulandpreis Modell (Median) [Fr./m2]",1993,688,Fr./m2,Franken pro Quadratmeter,
1,Aeugst a.A.,"Bau und Immobilien","Immobilienhandel","Baulandpreis",477,"Baulandpreis Modell (Median) [Fr./m2]",1994,680,Fr./m2,Franken pro Quadratmeter,
1,Aeugst a.A.,"Bau und Immobilien","Immobilienhandel","Baulandpreis",477,"Baulandpreis Modell (Median) [Fr./m2]",1995,668,Fr./m2,Franken pro Quadratmeter,
1,Aeugst a.A.,"Bau und Immobilien","Immobilienhandel","Baulandpreis",477,"Baulandpreis Modell (Median) [Fr./m2]",1996,653,Fr./m2,Franken pro Quadratmeter,
1,Aeugst a.A.,"Bau und Immobilien","Immobilienhandel","Baulandpreis",477,"Baulandpreis Modell (Median) [Fr./m2]",1997,647,Fr./m2,Franken pro Quadratmeter,
1,Aeugst a.A.,"Bau und Immobilien","Immobilienhandel","Baulandpreis",477,"Baulandpreis Modell (Median) [Fr./m2]",1998,644,Fr./m2,Franken pro Quadratmeter,
1,Aeugst a.A.,"Bau und Immobilien","Immobilienhandel","Baulandpreis",477,"Baulandpreis Modell (Median) [Fr./m2]",1999,638,Fr./m2,Franken pro Quadratmeter,
1,Aeugst a.A.,"Bau und Immobilien","Immobilienhandel","Baulandpreis",477,"Baulandpreis Modell (Median) [Fr./m2]",2000,630,Fr./m2,Franken pro Quadratmeter,
1,Aeugst a.A.,"Bau und Immobilien","Immobilienhandel","Baulandpreis",477,"Baulandpreis Modell (Median) [Fr./m2]",2001,615,Fr./m2,Franken pro Quadratmeter,
1,Aeugst a.A.,"Bau und Immobilien","Immobilienhandel","Baulandpreis",477,"Baulandpreis Modell (Median) [Fr./m2]",2002,621,Fr./m2,Franken pro Quadratmeter,
1,Aeugst a.A.,"Bau und Immobilien","Immobilienhandel","Baulandpreis",477,"Baulandpreis Modell (Median) [Fr./m2]",2003,626,Fr./m2,Franken pro Quadratmeter,
1,Aeugst a.A.,"Bau und Immobilien","Immobilienhandel","Baulandpreis",477,"Baulandpreis Modell (Median) [Fr./m2]",2004,633,Fr./m2,Franken pro Quadratmeter,
1,Aeugst a.A.,"Bau und Immobilien","Immobilienhandel","Baulandpreis",477,"Baulandpreis Modell (Median) [Fr./m2]",2005,644,Fr./m2,Franken pro Quadratmeter,
1,Aeugst a.A.,"Bau und Immobilien","Immobilienhandel","Baulandpreis",477,"Baulandpreis Modell (Median) [Fr./m2]",2006,658,Fr./m2,Franken pro Quadratmeter,
1,Aeugst a.A.,"Bau und Immobilien","Immobilienhandel","Baulandpreis",477,"Baulandpreis Modell (Median) [Fr./m2]",2007,682,Fr./m2,Franken pro Quadratmeter,
1,Aeugst a.A.,"Bau und Immobilien","Immobilienhandel","Baulandpreis",477,"Baulandpreis Modell (Median) [Fr./m2]",2008,707,Fr./m2,Franken pro Quadratmeter,
1,Aeugst a.A.,"Bau und Immobilien","Immobilienhandel","Baulandpreis",477,"Baulandpreis Modell (Median) [Fr./m2]",2009,740,Fr./m2,Franken pro Quadratmeter,
