YEAR,BFSNR,GDE_NAME,STF_O_KIRCHE1,STF_O_KIRCHE2,STF_O_KIRCHE3,STF_REF1,STF_REF2,STF_REF3,STF_KATH1,STF_KATH2,STF_KATH3,STF_CKRKATH1,STF_CKRKATH2,STF_CKRKATH3,JUR_PERS
2025,1,Aeugst a.A.,92,0,0,104,0,0,105,0,0,106,0,0,104.33
2025,2,Affoltern a.A.,122,0,0,134,0,0,135,0,0,136,0,0,134.51
2025,3,Bonstetten,109,0,0,121,0,0,120,0,0,123,0,0,120.56
2025,4,Hausen a.A.,112,0,0,124,0,0,126,0,0,126,0,0,124.9
2025,5,Hedingen,100,0,0,112,0,0,113,0,0,114,0,0,112.4
2025,6,Kappel a.A.,102,0,0,116,0,0,116,0,0,116,0,0,116
2025,7,Knonau,116,0,0,130,0,0,130,0,0,130,0,0,130
2025,8,Maschwanden,129,0,0,141,0,0,143,0,0,143,0,0,141.72
2025,9,Mettmenstetten,98,0,0,110,0,0,112,0,0,112,0,0,110.84
2025,10,Obfelden,119,0,0,131,0,0,132,0,0,133,0,0,131.48
2025,11,Ottenbach,115,0,0,127,0,0,128,0,0,129,0,0,127.43
2025,12,Rifferswil,122,0,0,134,0,0,136,0,0,136,0,0,134.6
2025,13,Stallikon,103,0,0,114,0,0,114,0,0,117,0,0,114
2025,14,Wettswil a.A.,91,0,0,102,0,0,102,0,0,105,0,0,102
2025,22,Benken,110,0,0,124,0,0,124,0,0,124,0,0,124
2025,23,Berg a.I.,98,0,0,110,0,0,111,0,0,112,0,0,110.14
2025,24,Buch a.I.,106,0,0,118,0,0,119,0,0,120,0,0,118.17
2025,25,Dachsen,111,0,0,123,0,0,125,0,0,125,0,0,123.62
2025,26,Dorf,104,0,0,118,0,0,117,0,0,118,0,0,117.75
2025,27,Feuerthalen,114,0,0,128,0,0,128,0,0,128,0,0,128
2025,28,Flaach,107,0,0,119,0,0,120,0,0,121,0,0,119.26
2025,29,Flurlingen,111,0,0,123,0,0,125,0,0,125,0,0,123.64
2025,31,Henggart,103,0,0,117,0,0,116,0,0,117,0,0,116.73
2025,33,Kleinandelfingen,116,0,0,128,0,0,130,0,0,130,0,0,128.54
2025,34,Laufen-Uhwiesen,104,0,0,116,0,0,118,0,0,118,0,0,116.58
2025,35,Marthalen,107,0,0,121,0,0,121,0,0,121,0,0,121
2025,37,Ossingen,99,0,0,113,0,0,113,0,0,113,0,0,113
2025,38,Rheinau,112,0,0,126,0,0,126,0,0,126,0,0,126
2025,39,Thalheim a.d.Th.,115,0,0,127,0,0,128,0,0,129,0,0,127.22
2025,40,Trüllikon,110,0,0,124,0,0,124,0,0,124,0,0,124
2025,41,Truttikon,107,0,0,121,0,0,121,0,0,121,0,0,121
2025,43,Volken,111,0,0,123,0,0,124,0,0,125,0,0,123.22
2025,51,Bachenbülach,106,0,0,116,0,0,117,0,0,120,0,0,116.46
2025,52,Bassersdorf,114,0,0,126,0,0,123,0,0,128,0,0,124.53
2025,53,Bülach,114,0,0,124,0,0,125,0,0,128,0,0,124.5
2025,54,Dietlikon,105,0,0,116,0,0,113,0,0,119,0,0,114.5
2025,55,Eglisau,113,0,0,126,0,0,126,0,0,127,0,0,126
2025,56,Embrach,114,0,0,126,0,0,127,0,0,128,0,0,126.46
2025,57,Freienstein-Teufen,99,0,0,113,0,0,112,0,0,113,0,0,112.68
2025,58,Glattfelden,120,0,0,134,0,0,133,0,0,134,0,0,133.59
2025,59,Hochfelden,116,0,0,126,0,0,127,0,0,130,0,0,126.41
2025,60,Höri,110,0,0,120,0,0,121,0,0,124,0,0,120.56
2025,61,Hüntwangen,108,0,0,122,0,0,121,0,0,122,0,0,121.69
2025,62,Kloten,100,0,0,109,0,0,109,0,0,114,0,0,109
2025,63,Lufingen,92,0,0,104,0,0,105,0,0,106,0,0,104.48
2025,64,Nürensdorf,90,0,0,102,0,0,99,0,0,104,0,0,100.77
2025,65,Oberembrach,122,0,0,134,0,0,135,0,0,136,0,0,134.27
2025,66,Opfikon,94,0,0,102,0,0,101,0,0,108,0,0,101.34
2025,67,Rafz,113,0,0,127,0,0,126,0,0,127,0,0,126.63
2025,68,Rorbas,103,0,0,117,0,0,116,0,0,117,0,0,116.57
2025,69,Wallisellen,93,0,0,100,0,0,101,0,0,107,0,0,100.55
2025,70,Wasterkingen,116,0,0,130,0,0,129,0,0,130,0,0,129.75
2025,71,Wil,99,0,0,113,0,0,112,0,0,113,0,0,112.77
2025,72,Winkel,76,0,0,86,0,0,87,0,0,90,0,0,86.42
2025,81,Bachs,128,0,0,142,0,0,138,0,0,142,0,0,140.96
2025,82,Boppelsen,94,0,0,107,0,0,104,0,0,108,0,0,105.95
2025,83,Buchs,105,0,0,116,0,0,115,0,0,119,0,0,115.49
2025,84,Dällikon,107,0,0,118,0,0,117,0,0,121,0,0,117.42
2025,85,Dänikon,120,0,0,131,0,0,130,0,0,134,0,0,130.49
2025,86,Dielsdorf,105,0,0,117,0,0,115,0,0,119,0,0,115.94
2025,87,Hüttikon,113,0,0,126,0,0,123,0,0,127,0,0,124.47
2025,88,Neerach,77,0,0,89,0,0,87,0,0,91,0,0,88.28
2025,89,Niederglatt,106,0,0,119,0,0,116,0,0,120,0,0,117.53
2025,90,Niederhasli,112,0,0,125,0,0,122,0,0,126,0,0,123.53
2025,91,Niederweningen,102,0,0,112,0,0,112,0,0,116,0,0,112
2025,92,Oberglatt,117,0,0,130,0,0,127,0,0,131,0,0,128.2
2025,93,Oberweningen,96,0,0,106,0,0,106,0,0,110,0,0,106
2025,94,Otelfingen,112,0,0,125,0,0,122,0,0,126,0,0,123.44
2025,95,Regensberg,110,0,0,124,0,0,120,0,0,124,0,0,123.2
2025,96,Regensdorf,117,0,0,128,0,0,127,0,0,131,0,0,127.44
2025,97,Rümlang,109,0,0,123,0,0,123,0,0,123,0,0,123
2025,98,Schleinikon,108,0,0,118,0,0,118,0,0,122,0,0,118
